Date,25yr,15yr
08/08/2012,2.647,2.305
08/07/2012,2.624,2.288
08/06/2012,2.552,2.214
08/03/2012,2.566,2.233
08/02/2012,2.456,2.116
08/01/2012,2.521,2.188
07/31/2012,2.489,2.141
07/30/2012,2.491,2.143
07/27/2012,2.556,2.200
07/26/2012,2.403,2.052
07/25/2012,2.383,2.034
07/24/2012,2.384,2.030
07/23/2012,2.428,2.073
07/20/2012,2.460,2.095
07/19/2012,2.523,2.164
07/18/2012,2.490,2.120
07/17/2012,2.503,2.139
07/16/2012,2.458,2.090
07/13/2012,2.493,2.122
07/12/2012,2.472,2.095
07/11/2012,2.498,2.122
07/10/2012,2.506,2.134
07/09/2012,2.531,2.156
07/06/2012,2.575,2.199
07/05/2012,2.628,2.254
07/04/2012,2.649,2.275
07/03/2012,2.650,2.276
07/02/2012,2.594,2.209
06/29/2012,2.678,2.309
06/28/2012,2.577,2.190
06/27/2012,2.601,2.236
06/26/2012,2.605,2.244
06/25/2012,2.589,2.223
06/22/2012,2.662,2.291
06/21/2012,2.599,2.222
06/20/2012,2.630,2.262
06/19/2012,2.641,2.240
06/18/2012,2.591,2.194
06/15/2012,2.608,2.197
06/14/2012,2.617,2.222
06/13/2012,2.619,2.218
06/12/2012,2.676,2.277
06/11/2012,2.630,2.211
06/08/2012,2.671,2.252
06/07/2012,2.666,2.262
06/06/2012,2.625,2.242
06/05/2012,2.529,2.128
06/04/2012,2.476,2.084
06/01/2012,2.450,2.045
05/31/2012,2.581,2.177
05/30/2012,2.622,2.219
05/29/2012,2.744,2.331
05/28/2012,2.744,2.333
05/25/2012,2.746,2.335
05/24/2012,2.748,2.344
05/23/2012,2.701,2.295
05/22/2012,2.796,2.388
05/21/2012,2.701,2.318
05/18/2012,2.695,2.295
05/17/2012,2.712,2.286
05/16/2012,2.808,2.385
05/15/2012,2.833,2.411
05/14/2012,2.848,2.433
05/11/2012,2.911,2.495
05/10/2012,2.954,2.540
05/09/2012,2.944,2.535
05/08/2012,2.932,2.535
05/07/2012,2.973,2.579
05/04/2012,2.980,2.582
05/03/2012,3.019,2.634
05/02/2012,3.021,2.633
05/01/2012,3.066,2.680
04/30/2012,3.018,2.630
04/27/2012,3.023,2.639
04/26/2012,3.044,2.662
04/25/2012,3.054,2.684
04/24/2012,3.022,2.659
04/23/2012,2.994,2.632
04/20/2012,3.038,2.679
04/19/2012,3.021,2.661
04/18/2012,3.037,2.689
04/17/2012,3.063,2.722
04/16/2012,3.023,2.682
04/13/2012,3.055,2.711
04/12/2012,3.116,2.770
04/11/2012,3.095,2.751
04/10/2012,3.048,2.707
04/09/2012,3.089,2.758
04/06/2012,3.122,2.780
04/05/2012,3.229,2.897
04/04/2012,3.284,2.965
04/03/2012,3.318,2.993
04/02/2012,3.253,2.921
03/30/2012,3.262,2.934
03/29/2012,3.191,2.858
03/28/2012,3.222,2.891
03/27/2012,3.219,2.893
03/26/2012,3.244,2.931
03/23/2012,3.227,2.920
03/22/2012,3.278,2.967
03/21/2012,3.289,2.987
03/20/2012,3.365,3.059
03/19/2012,3.383,3.075
03/16/2012,3.321,3.003
03/15/2012,3.322,3.000
03/14/2012,3.314,2.990
03/13/2012,3.161,2.824
03/12/2012,3.086,2.742
03/09/2012,3.104,2.755
03/08/2012,3.088,2.730
03/07/2012,3.037,2.675
03/06/2012,3.001,2.645
03/05/2012,3.061,2.711
03/02/2012,3.037,2.692
03/01/2012,3.075,2.736
02/29/2012,3.005,2.659
02/28/2012,2.985,2.617
02/27/2012,2.966,2.605
02/24/2012,3.021,2.665
02/23/2012,3.048,2.685
02/22/2012,3.071,2.710
02/21/2012,3.111,2.757
02/20/2012,3.081,2.718
02/17/2012,3.083,2.721
02/16/2012,3.068,2.706
02/15/2012,3.012,2.643
02/14/2012,2.985,2.624
02/13/2012,3.061,2.695
02/10/2012,3.043,2.672
02/09/2012,3.113,2.749
02/08/2012,3.062,2.703
02/07/2012,3.060,2.697
02/06/2012,3.012,2.637
02/03/2012,3.074,2.690
02/02/2012,2.941,2.554
02/01/2012,2.945,2.568
01/31/2012,2.866,2.500
01/30/2012,2.913,2.551
01/27/2012,2.992,2.622
01/26/2012,3.020,2.656
01/25/2012,3.081,2.720
01/24/2012,3.091,2.758
01/23/2012,3.078,2.754
01/20/2012,3.033,2.709
01/19/2012,2.976,2.649
01/18/2012,2.896,2.563
01/17/2012,2.835,2.502
01/13/2012,2.848,2.510
01/12/2012,2.920,2.594
01/11/2012,2.901,2.568
01/10/2012,2.966,2.637
01/09/2012,2.968,2.633
01/06/2012,2.955,2.625
01/05/2012,2.994,2.665
01/04/2012,2.983,2.657
01/03/2012,2.935,2.615
01/02/2012,2.834,2.505
12/30/2011,2.836,2.508
12/29/2011,2.854,2.522
12/28/2011,2.843,2.517
12/27/2011,2.975,2.646
12/26/2011,3.008,2.672
12/23/2011,3.008,2.672
12/22/2011,2.919,2.580
12/21/2011,2.938,2.591
12/20/2011,2.868,2.540
12/19/2011,2.750,2.425
12/16/2011,2.797,2.467
12/15/2011,2.866,2.536
12/14/2011,2.846,2.518
12/13/2011,2.936,2.608
12/12/2011,2.983,2.667
12/09/2011,3.039,2.731
12/08/2011,2.934,2.636
12/07/2011,2.980,2.681
12/06/2011,3.045,2.748
